date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,rain_sum,precipitation_hours,wind_speed_10m_max,shortwave_radiation_sum,id
2020-01-01,16.9405,9.6905,13.163418,18.5,24.0,12.24,4.96,"de111919-0a12-43d4-8f5b-bc5b42b4df47"
2020-01-02,18.6405,11.1405,14.478001,4.4,15.0,12.387348,6.05,"2709d3c8-006f-40b8-8f33-3b31f93052fb"
2020-01-03,19.0905,9.9905,15.886334,0.0,0.0,29.215502,15.44,"b9610198-66bc-4cef-8024-a990fbe37a77"
2020-01-04,18.1905,7.5905,12.559253,0.0,0.0,10.00256,16.55,"f281a03a-db0a-4db8-8453-c7ebe235b059"
2020-01-05,21.1405,10.040501,14.955086,0.0,0.0,7.2805495,16.55,"0f2e974d-333d-49ec-8efa-90575b360c05"
2020-01-06,24.2405,14.040501,18.598833,0.0,0.0,6.130579,16.5,"17d4d2a8-064c-4bbe-98e6-3e782456f649"
2020-01-07,18.8905,11.2405,15.29467,0.0,0.0,12.979984,16.29,"30993e80-6aa5-445e-802a-761041d29cf9"
2020-01-08,19.4405,6.9905,13.482169,0.0,0.0,9.659814,14.01,"ba68f9c3-c753-45e3-bf2c-16b02ce1ef53"
2020-01-09,24.790499,12.4905,18.069668,0.0,0.0,6.924738,13.96,"6609164c-d2a1-4e61-9fad-db677e969c0e"
2020-01-10,27.8405,13.4405,19.507166,0.0,0.0,11.183201,15.08,"2a9ef3e9-8cd9-4770-bb4d-fd28946385e9"
2020-01-11,21.5905,10.590501,16.284248,0.0,0.0,13.237038,17.24,"2fa7ee6a-7fc8-4006-9abc-af6e75b1e3eb"
2020-01-12,18.9905,6.4905,12.492583,0.0,0.0,7.754637,16.6,"68fe4d45-ae47-49f4-8aba-c672fac40309"
2020-01-13,20.790499,11.4405,15.996749,0.0,0.0,5.6920996,11.24,"c52b8b99-5d88-4b06-a39c-7b17a3889adc"
2020-01-14,25.540499,14.3905,20.061335,0.0,0.0,6.130579,15.9,"d04acbd3-2322-43fe-b3c2-ea2883d817e1"
2020-01-15,25.8405,16.1905,20.6905,0.0,0.0,6.297428,12.01,"e50a147e-5ce0-4554-bd36-83fe0a029fc5"
2020-01-16,24.8405,17.290499,20.209251,2.4,9.0,16.375053,7.07,"46a15aad-1305-4ac4-aa72-909a387be91d"
2020-01-17,22.1405,16.8405,19.136332,1.7000002,12.0,5.8048253,6.55,"317a3ae6-1d3d-4058-b264-4c669184a760"
2020-01-18,22.5905,16.1905,18.880083,1.7,6.0,10.483357,9.5,"b10fb0e1-0721-4b7b-a6b1-ee8b54c82bbd"
2020-01-19,17.3905,11.1405,13.596749,2.9,7.0,10.24578,5.65,"378f38f7-afdd-4693-b426-8a9facf0d7c9"
2020-01-20,14.3905,9.340501,11.321751,0.0,0.0,12.979984,15.29,"54e3ae7a-b3b6-4d4a-8efb-a6d05aeb0839"
2020-01-21,14.8905,7.9905,11.080083,0.0,0.0,14.480773,6.77,"1a27e7dc-c0dc-401d-929c-8c204126fd5b"
2020-01-22,16.0905,9.2405,12.515502,1.1,7.0,9.957108,5.76,"c791a691-d8a4-4db5-878f-30c67671332f"
2020-01-23,22.6405,14.790501,17.750917,0.0,0.0,8.28,16.94,"b8c29f30-c40c-4228-a730-f5ed830fbe36"
2020-01-24,17.3405,11.790501,14.671752,0.2,2.0,14.021525,7.87,"22381374-0747-4ac7-9fae-dd95a8a822a0"
2020-01-25,16.8405,11.3905,13.732167,0.70000005,7.0,7.42159,3.45,"e0f6fe8c-2306-403e-95b6-d688ed6871c9"
2020-01-26,26.9905,16.9405,20.317587,0.0,0.0,12.819235,16.46,"919eda5f-324e-4e0b-a5bb-19b72d1561ea"
2020-01-27,25.3905,14.6905,19.463417,0.0,0.0,8.891344,17.56,"7e8e5b08-9c12-4f89-90fc-ff5373f4da21"
2020-01-28,26.7405,14.1905,19.682167,0.0,0.0,18.335276,18.31,"35132922-a607-489e-8a31-fba9420233df"
2020-01-29,19.6905,10.4405,15.023835,0.0,0.0,15.778516,18.63,"6923c5ca-0c1a-41ee-a6c4-2718518b76f2"
2020-01-30,14.6905,6.3405,10.64675,1.6999999,7.0,9.983106,5.96,"4c52350b-cc54-436d-b40b-a113a7ae4206"
2020-01-31,17.6405,7.7905,12.023834,0.1,1.0,8.311245,13.61,"8329d933-8c94-45c9-908e-9f17de167b13"
2020-02-01,19.3405,9.290501,13.700917,0.4,2.0,8.435069,16.35,"dcf9ccb2-fb4e-40d6-82fb-67c40b24329b"
2020-02-02,20.040499,12.040501,15.427999,0.1,1.0,7.127636,14.71,"21facabd-139c-49e0-ad52-29685c09cf84"
2020-02-03,23.2405,13.340501,18.20925,0.4,3.0,11.269782,8.95,"a7b8751f-b472-4f05-ace3-5be0dcc1f159"
2020-02-04,28.790499,13.540501,20.984251,0.0,0.0,12.819235,17.15,"e32716cc-7d55-4ecf-ba34-b64cd634db52"
2020-02-05,20.4405,5.8405,14.005084,0.0,0.0,12.758432,17.4,"18a8883b-3667-47b6-b291-cbb4307e1cda"
2020-02-06,22.8905,2.0405,11.319667,0.0,0.0,23.828083,19.76,"33879994-2724-4bf8-a650-2a3cfdf45709"
2020-02-07,24.040499,10.3905,16.386335,0.0,0.0,11.119281,19.85,"cc8a00c3-686a-40d9-96f9-93b5763f63a1"
2020-02-08,24.7405,13.3905,18.211332,0.0,0.0,16.167967,19.53,"6b2cfd46-fdf8-4915-b5de-234858c38b31"
2020-02-09,27.6905,15.290501,20.432167,0.2,2.0,7.729527,16.08,"b30f361a-c18e-4723-93bb-3724f0d20a0b"
2020-02-10,30.8405,17.0905,23.084251,0.0,0.0,13.896187,18.6,"aaae086b-3d5e-41fb-864b-7b524095f426"
2020-02-11,22.4905,11.6405,18.536333,2.5,14.0,12.783802,8.06,"5e6d60c8-954d-4911-8251-94d92f2b260e"
2020-02-12,18.790499,10.290501,13.582168,1.2,8.0,7.42159,10.71,"8fe0cd0d-94e4-43b9-afae-6dfc16378bad"
2020-02-13,19.2405,10.340501,14.630085,0.0,0.0,14.4,18.59,"cc0b45e1-e73a-4a7c-a998-944fd2f6867d"
2020-02-14,13.4905,8.7405,11.007167,0.0,0.0,16.79314,8.05,"e7cd34e2-01ea-4cb9-a9ac-7e67d42ffa58"
2020-02-15,18.3905,7.6905,12.1571665,0.4,3.0,8.209263,11.18,"87429f18-a88e-4af7-b10d-6f864a3a2641"
